id,h-id,topic
1516,2.8.2.1,Translations of Geometric Figures
1517,2.8.2.2,Rotations of Geometric Figures
3823,2.8.2.3,Rotating Objects in the Coordinate Plane Using Functions
1518,2.8.2.4,Reflections of Geometric Figures in the Cartesian Plane
3535,2.8.2.5,Reflections of Figures Across Arbitrary Lines
2216,2.8.2.6,Dilations of Geometric Figures
577,2.8.2.7,Dilations of Figures in the Coordinate Plane
2217,2.8.2.8,Stretches of Geometric Figures
1363,2.8.2.9,Combining Stretches of Geometric Figures
483,2.8.2.10,Combining Geometric Transformations
2218,2.8.2.11,Rigid Motions and Congruence
490,2.8.2.12,Similarity and Similar Polygons
491,2.8.2.13,Similarity Transformations
2226,2.8.2.14,Reflective Symmetry
2227,2.8.2.15,Rotational Symmetry
2467,2.8.3.1,Identifying Three-Dimensional Shapes
2484,2.8.3.2,"Faces, Vertices, and Edges of Polyhedrons"
2468,2.8.3.3,Nets of Polyhedrons
2469,2.8.3.4,Finding Surface Areas Using Nets
1467,2.8.3.5,Volumes of Cubes
1753,2.8.3.6,Volumes of Rectangular Solids
681,2.8.3.7,Surface Areas of Cubes
1146,2.8.3.8,Volumes of Spheres
1765,2.8.3.9,Surface Areas of Spheres
1144,2.8.3.10,Volumes of Cylinders
1762,2.8.3.11,Surface Areas of Cylinders
2849,2.8.3.12,Euler's Formula for Polyhedra
1826,2.8.3.13,The Five Platonic Solids
1597,2.9.1.1,Angles and Sides in Right Triangles
609,2.9.1.2,The Trigonometric Ratios
633,2.9.1.3,Calculating Trigonometric Ratios Using the Pythagorean Theorem
629,2.9.1.4,Calculating Side Lengths of Right Triangles Using Trigonometry
610,2.9.1.5,Calculating Angles in Right Triangles Using Trigonometry
611,2.9.1.6,The Reciprocal Trigonometric Ratios
510,2.9.1.7,Trigonometric Functions of Complementary Angles
765,2.9.1.8,Special Trigonometric Ratios
1608,2.9.1.9,Calculating Areas of Right Triangles Using Trigonometry
764,2.9.1.10,Introduction to Radians
516,2.9.1.11,Trigonometric Ratios With Radians
168,2.9.2.1,The Law of Sines
169,2.9.2.2,The Law of Cosines
1275,2.9.2.3,The Area of a General Triangle
1848,2.9.3.1,Angles in the Coordinate Plane
167,2.9.3.2,Negative Angles in the Coordinate Plane
261,2.9.3.3,Coterminal Angles
1456,2.9.3.4,Calculating Reference Angles
112,2.9.3.5,Properties of the Unit Circle in the First Quadrant
204,2.9.3.6,Extending the Trigonometric Ratios Using the Unit Circle
4037,2.9.3.7,Extending the Trigonometric Ratios Using Angles in Radians
166,2.9.3.8,Extending the Trigonometric Ratios to Negative Angles
3829,2.9.3.9,Extending the Trigonometric Ratios to Large Angles
1453,2.9.3.10,Using the Pythagorean Identity in the First Quadrant
2021,2.9.3.11,Extending the Pythagorean Identity to All Quadrants
269,2.9.4.1,Finding Trigonometric Ratios of Quadrantal Angles
3568,2.9.4.2,Trigonometric Ratios of Quadrantal Angles Outside the Standard Range
268,2.9.4.3,Finding Trigonometric Ratios of Special Angles Using the Unit Circle
3766,2.9.4.4,Evaluating Trigonometric Expressions
1844,2.9.4.5,Further Extensions of the Special Trigonometric Ratios
1491,2.9.5.1,Graphing Sine and Cosine
1493,2.9.5.2,Graphing Tangent and Cotangent
1573,2.9.5.3,Graphing Secant and Cosecant
3540,2.9.6.1,Describing Properties of the Sine Function
3557,2.9.6.2,Describing Properties of the Cosine Function
3558,2.9.6.3,Describing Properties of the Tangent Function
3563,2.9.6.4,Describing Properties of the Secant Function
3567,2.9.6.5,Describing Properties of the Cosecant Function
3566,2.9.6.6,Describing Properties of the Cotangent Function
206,2.9.7.1,Vertical Translations of Trigonometric Functions
1661,2.9.7.2,Vertical Stretches of Trigonometric Functions
1659,2.9.7.3,Horizontal Translations of Trigonometric Functions
784,2.9.7.4,Horizontal Stretches of Trigonometric Functions
275,2.9.7.5,Combining Graph Transformations of Sine and Cosine
654,2.9.7.6,Graph Transformations of Tangent and Cotangent
3850,2.9.7.7,Combining Graph Transformations of Tangent and Cotangent
776,2.9.7.8,Combining Graph Transformations of Secant and Cosecant
259,2.9.7.9,Graphing Reflections of Trigonometric Functions
2062,2.9.8.1,Properties of Transformed Sine and Cosine Functions
5088,2.9.8.2,Finding Zeros and Extrema of Transformed Sine and Cosine Functions
2064,2.9.8.3,Properties of Transformed Tangent and Cotangent Functions
778,2.9.8.4,Properties of Transformed Secant and Cosecant Functions
1107,2.10.1.1,Introduction to Vectors
1100,2.10.1.2,The Triangle Law for the Addition of Two Vectors
1101,2.10.1.3,The Magnitude of a Vector
1102,2.10.1.4,Problem Solving Using Vector Diagrams
1103,2.10.1.5,Parallel Vectors
1104,2.10.1.6,Unit Vectors
1105,2.10.1.7,Linear Combinations of Vectors and Their Properties
1106,2.10.1.8,Describing the Position Vector of a Point Using Known Vectors
1165,2.10.2.1,Two-Dimensional Vectors Expressed in Component Form
244,2.10.2.2,Addition and Scalar Multiplication of Cartesian Vectors in 2D
176,2.10.2.3,Calculating the Magnitude of Cartesian Vectors in 2D
461,2.11.1.1,The Finite Limit of a Function
472,2.11.1.2,The Left and Right-Sided Limits of a Function
625,2.11.1.3,Finding the Existence of a Limit Using One-Sided Limits
1873,2.11.1.4,Limits at Infinity from Graphs
1814,2.11.1.5,Infinite Limits from Graphs
1716,2.11.2.1,"Limits of Power Functions, and the Constant Rule for Limits"
1914,2.11.2.2,The Sum Rule for Limits
1246,2.11.2.3,The Product and Quotient Rules for Limits
37,2.11.2.4,The Power and Root Rules for Limits
1263,2.11.3.1,Limits at Infinity of Polynomials
1905,2.11.3.2,Limits of Reciprocal Functions
1717,2.11.3.3,Limits of Exponential Functions
1377,2.11.3.4,Limits of Logarithmic Functions
1986,2.11.3.5,Limits of Radical Functions
1719,2.11.3.6,Limits of Trigonometric Functions
1958,2.11.3.7,Limits of Reciprocal Trigonometric Functions
1262,2.11.3.8,Limits of Piecewise Functions
1813,2.11.3.9,Calculating Limits of Rational Functions by Factoring
462,2.11.4.1,Determining Continuity from Graphs
314,2.11.4.2,Defining Continuity at a Point
474,2.11.4.3,Left and Right Continuity
612,2.11.4.4,Continuity Over an Interval
336,2.12.1.1,The Average Rate of Change of a Function
1208,2.12.1.2,The Average Rate of Change of a Function over a Varying Interval
337,2.12.1.3,The Instantaneous Rate of Change of a Function at a Point
812,2.12.1.4,Defining the Derivative Using Derivative Notation
35,2.12.1.5,The Power Rule for Differentiation
278,2.12.1.6,The Sum and Constant Multiple Rules for Differentiation
332,2.12.1.7,Calculating the Slope of a Tangent Line Using Differentiation
986,2.12.1.8,Calculating the Equation of a Tangent Line Using Differentiation
987,2.12.1.9,Calculating the Equation of a Normal Line Using Differentiation
296,2.12.1.10,Interpreting the Meaning of the Derivative in Context
1114,2.12.2.1,Differentiating Exponential Functions
1116,2.12.2.2,Differentiating Logarithmic Functions
280,2.12.2.3,Differentiating Trigonometric Functions
281,2.12.2.4,Second and Higher-Order Derivatives
1109,2.12.2.5,The Product Rule for Differentiation
1110,2.12.2.6,The Quotient Rule for Differentiation
1249,2.12.2.7,Calculating Derivatives From Data and Tables
1117,2.12.2.8,Calculating Derivatives From Graphs
1686,2.12.2.9,Differentiating Reciprocal Trigonometric Functions
1108,2.12.3.1,The Chain Rule for Differentiation
1007,2.12.3.2,The Chain Rule With Exponential Functions
1036,2.12.3.3,The Chain Rule With Logarithmic Functions
305,2.12.3.4,The Chain Rule With Trigonometric Functions
1115,2.12.3.5,Selecting Procedures for Calculating Derivatives
308,2.12.4.1,The Antiderivative
43,2.12.4.2,The Constant Multiple Rule for Indefinite Integrals
3769,2.12.4.3,The Sum Rule for Indefinite Integrals
1361,2.12.4.4,Integrating the Reciprocal Function
312,2.12.4.5,Integrating Exponential Functions
285,2.12.4.6,Integrating Trigonometric Functions
1634,2.13.1.1,The Mean of a Data Set
1632,2.13.1.2,Variance and Standard Deviation
126,2.13.1.3,Estimating Means and Variances For Grouped Data
3591,2.13.1.4,Covariance
5204,2.13.1.5,Sums of Squares
711,2.13.1.6,The Z-Score
2585,2.13.2.1,Scatter Plots
2609,2.13.2.2,Trend Lines
3753,2.13.2.3,Making Predictions Using Trend Lines
734,2.13.2.4,Linear Correlation
1056,2.13.2.5,The Linear Correlation Coefficient
1057,2.13.2.6,Linear Regression
3595,2.13.2.7,Residuals and Residual Plots
736,2.13.2.8,Selecting a Regression Model
45,2.14.1.1,Sets
130,2.14.1.2,Probability From Experimental Data
1121,2.14.1.3,Sample Spaces and Events in Probability
709,2.14.1.4,Single Events in Probability
1120,2.14.1.5,The Complement of an Event
793,2.14.1.6,Venn Diagrams in Probability
2826,2.14.2.1,The Union of Sets
2827,2.14.2.2,The Intersection of Sets
131,2.14.2.3,Compound Events in Probability From Experimental Data
794,2.14.2.4,Computing Probabilities for Compound Events Using Venn Diagrams
4361,2.14.2.5,Computing Probabilities of Events Containing Complements Using Venn Diagrams
161,2.14.3.1,The Rules of Sum and Product
774,2.14.3.2,Factorials
3710,2.14.3.3,Factorials in Variable Expressions
775,2.14.3.4,Ordering Objects
703,2.14.3.5,Permutations
705,2.14.3.6,Combinations
132,2.14.3.7,Computing Probabilities Using Combinatorics
3404,3.1.1.1,Pascal's Triangle and the Binomial Coefficients
1156,3.1.1.2,Expanding a Binomial Using Binomial Coefficients
3764,3.1.1.3,The Special Case of the Binomial Theorem
1158,3.1.1.4,Approximating Values Using the Binomial Theorem
779,3.1.2.1,Expressing an Arithmetic Series in Sigma Notation
675,3.1.2.2,Finding the Sum of an Arithmetic Series
677,3.1.2.3,Finding the First Term of an Arithmetic Series
676,3.1.2.4,Calculating the Number of Terms in an Arithmetic Series
1016,3.1.3.1,The Sum of a Finite Geometric Series
692,3.1.3.2,The Sum of the First N Terms of a Geometric Series
1017,3.1.3.3,Writing Geometric Series in Sigma Notation
690,3.1.3.4,Sums of Finite Geometric Series Given in Sigma Notation
1088,3.1.4.1,Convergence of Geometric Sequences
3838,3.1.4.2,Further Convergence of Geometric Sequences
981,3.1.4.3,Infinite Series and Partial Sums
982,3.1.4.4,Convergent and Divergent Infinite Series
983,3.1.4.5,Properties of Infinite Series
4052,3.1.4.6,Further Properties of Infinite Series
691,3.1.4.7,Finding the Sum of an Infinite Geometric Series
686,3.1.4.8,Writing an Infinite Geometric Series in Sigma Notation
1020,3.1.4.9,Sums of Infinite Geometric Series Given in Sigma Notation
684,3.1.4.10,Convergence of Geometric Series
1495,3.2.1.1,Solving Elementary Quadratic Inequalities
468,3.2.1.2,Solving Quadratic Inequalities From Graphs
3833,3.2.1.3,Solving Quadratic Inequalities Using the Graphical Method
118,3.2.1.4,Solving Quadratic Inequalities Using the Sign Table Method
2982,3.2.1.5,Solving Inequalities Involving Positive and Negative Factors
2855,3.2.1.6,Inequalities Involving Powers of Binomials
2147,3.2.1.7,Solving Polynomial Inequalities Using a Graphical Method
2162,3.2.1.8,Solving Polynomial Inequalities Using the Sign Table Method
3355,3.2.1.9,Solving Rational Inequalities
2859,3.2.1.10,Solving Inequalities Involving Exponential Functions and Polynomials
2856,3.2.1.11,Solving Radical Inequalities
2857,3.2.1.12,Solving Inequalities Involving Exponential Functions
2858,3.2.1.13,Solving Inequalities Involving Logarithmic Functions
1004,3.2.1.14,Solving Inequalities Involving Geometric Sequences
665,3.2.2.1,Graphing Strict Two-Variable Linear Inequalities
3827,3.2.2.2,Graphing Non-Strict Two-Variable Linear Inequalities
3822,3.2.2.3,Further Graphing of Two-Variable Linear Inequalities
1535,3.2.2.4,Systems of Linear Inequalities
2076,3.2.2.5,Solving Two-Variable Nonlinear Inequalities
3684,3.2.2.6,Further Solving of Two-Variable Nonlinear Inequalities
803,3.3.1.1,Graphing Curves Defined Parametrically
1255,3.3.1.2,Cartesian Equations of Parametric Curves
1257,3.3.1.3,Finding Intersections of Parametric Curves and Lines
798,3.3.1.4,Differentiating Parametric Curves
799,3.3.1.5,Calculating Tangent and Normal Lines with Parametric Equations
431,3.3.1.6,Second Derivatives of Parametric Equations
997,3.3.1.7,The Arc Length of a Parametric Curve
935,3.3.2.1,Introduction to Polar Coordinates
936,3.3.2.2,Converting from Polar Coordinates to Cartesian Coordinates
937,3.3.2.3,Polar Equations of Circles Centered at the Origin
2173,3.3.2.4,Polar Equations of Radial Lines
998,3.3.2.5,Differentiating Curves Given in Polar Form
3854,3.3.2.6,Further Differentiation of Curves Given in Polar Form
1000,3.3.2.7,Finding the Area of a Polar Region
999,3.3.2.8,The Arc Length of a Polar Curve
1183,3.4.1.1,Circles in the Coordinate Plane
842,3.4.1.2,Equations of Circles Centered at the Origin
843,3.4.1.3,Equations of Circles
666,3.4.1.4,Determining Circle Properties by Completing the Square
844,3.4.1.5,Calculating Circle Intercepts
845,3.4.1.6,Intersections of Circles with Lines
806,3.4.1.7,Parametric Equations of Circles
1125,3.4.2.1,Upward and Downward Opening Parabolas
1124,3.4.2.2,Left and Right Opening Parabolas
1128,3.4.2.3,The Vertex of a Parabola
3534,3.4.2.4,Calculating the Vertex of a Parabola by Completing the Square
1132,3.4.2.5,Calculating Intercepts of Parabolas
875,3.4.2.6,Parametric Equations of Parabolas
2837,3.4.2.7,"Parametric Equations of Parabolas Centered at (h,k)"
853,3.4.3.1,Introduction to Ellipses
848,3.4.3.2,Equations of Ellipses Centered at the Origin
849,3.4.3.3,Equations of Ellipses Centered at a General Point
852,3.4.3.4,Finding the Center and Axes of Ellipses by Completing the Square
850,3.4.3.5,Finding Intercepts of Ellipses
2746,3.4.3.6,Parametric Equations of Ellipses
871,3.4.4.1,Equations of Hyperbolas Centered at the Origin
733,3.4.4.2,Equations of Hyperbolas Centered at a General Point
872,3.4.4.3,Asymptotes of Hyperbolas Centered at the Origin
1029,3.4.4.4,Asymptotes of Hyperbolas Centered at a General Point
874,3.4.4.5,Finding Intercepts and Intersections of Hyperbolas
873,3.4.4.6,Parametric Equations of Horizontal Hyperbolas
2981,3.4.4.7,Parametric Equations of Vertical Hyperbolas
1483,3.5.1.1,Graphing the Inverse Sine Function
1486,3.5.1.2,Graphing the Inverse Cosine Function
1487,3.5.1.3,Graphing the Inverse Tangent Function
209,3.5.1.4,Evaluating Expressions Containing Inverse Trigonometric Functions
3811,3.5.1.5,Limits of Inverse Trigonometric Functions
913,3.5.2.1,Elementary Trigonometric Equations Containing Sine
914,3.5.2.2,Elementary Trigonometric Equations Containing Cosine
915,3.5.2.3,Elementary Trigonometric Equations Containing Tangent
1565,3.5.2.4,Elementary Trigonometric Equations Containing Secant
1566,3.5.2.5,Elementary Trigonometric Equations Containing Cosecant
1567,3.5.2.6,Elementary Trigonometric Equations Containing Cotangent
947,3.5.2.7,Solving Trigonometric Equations Using the Sin-Cos-Tan Identity
1258,3.5.2.8,General Solutions of Elementary Trigonometric Equations
1259,3.5.2.9,General Solutions of Trigonometric Equations With Transformed Functions
923,3.5.2.10,Trigonometric Equations Containing Transformed Tangent Functions
203,3.5.3.1,Simplifying Expressions Using Basic Trigonometric Identities
207,3.5.3.2,Simplifying Expressions Using the Pythagorean Identity
205,3.5.3.3,Alternate Forms of the Pythagorean Identity
1454,3.5.3.4,Simplifying Expressions Using the Secant-Tangent Identity
3857,3.5.3.5,Alternate Forms of the Secant-Tangent Identity
1455,3.5.3.6,Simplifying Trigonometric Expressions Using the Cotangent-Cosecant Identity
270,3.5.4.1,The Sum and Difference Formulas for Sine
274,3.5.4.2,The Sum and Difference Formulas for Cosine
1076,3.5.4.3,Writing Sums of Trigonometric Functions in Amplitude-Phase Form
271,3.5.4.4,The Double-Angle Formula for Sine
831,3.5.4.5,The Double-Angle Formula for Cosine
892,3.6.1.1,The Complex Conjugate
905,3.6.1.2,Special Properties of the Complex Conjugate
1647,3.6.1.3,The Complex Conjugate and the Roots of a Quadratic Equation
227,3.6.1.4,Dividing Complex Numbers
159,3.6.1.5,Solving Equations by Equating Real and Imaginary Parts
696,3.6.1.6,Extending Polynomial Identities to the Complex Numbers
894,3.6.2.1,The Polar Form of a Complex Number
925,3.6.2.2,De Moivre's Theorem
898,3.6.2.3,Euler's Formula
3400,3.6.2.4,The Roots of Unity
4050,3.6.2.5,Properties of Roots of Unity
724,3.6.3.1,The Fundamental Theorem of Algebra for Quadratic Equations
896,3.6.3.2,The Fundamental Theorem of Algebra with Cubic Equations
3653,3.6.3.3,Solving Cubic Equations With Complex Roots
897,3.6.3.4,The Fundamental Theorem of Algebra with Quartic Equations
3657,3.6.3.5,Solving Quartic Equations With Complex Roots
463,3.7.1.1,L'Hopital's Rule
1087,3.7.1.2,Limits of Sequences
606,3.7.1.3,Special Limits Involving Sine
2610,3.7.1.4,Limits Involving the Exponential Function
1815,3.7.1.5,Vertical Asymptotes of Rational Functions
1903,3.7.1.6,Limits at Infinity and Horizontal Asymptotes of Rational Functions
604,3.7.1.7,Calculating Limits of Radical Functions Using Conjugate Multiplication
607,3.7.1.8,Evaluating Limits at Infinity by Comparing Relative Magnitudes of Functions
1245,3.7.1.9,Determining Limits of Sequences Using Relative Magnitudes
2006,3.7.2.1,Continuity of Functions
2150,3.7.2.2,The Intermediate Value Theorem
57,3.8.1.1,Implicit Differentiation
3216,3.8.1.2,"Calculating Slopes of Circles, Ellipses, and Parabolas"
1784,3.8.1.3,Calculating dy/dx Using dx/dy
1785,3.8.1.4,Differentiating Inverse Functions
291,3.8.1.5,Differentiating an Inverse Function at a Point
303,3.8.1.6,Differentiating Inverse Trigonometric Functions
1721,3.8.1.7,Differentiating Inverse Reciprocal Trigonometric Functions
342,3.8.1.8,Integration Using Inverse Trigonometric Functions
1691,3.8.2.1,Continuity and Differentiability of Functions
288,3.8.2.2,The Mean Value Theorem
313,3.8.2.3,Global vs. Local Extrema and Critical Points
3571,3.8.2.4,The Extreme Value Theorem
752,3.8.2.5,Using Differentiation to Calculate Critical Points
1359,3.8.2.6,Determining Intervals on Which a Function Is Increasing or Decreasing
1360,3.8.2.7,Using the First Derivative Test to Classify Local Extrema
364,3.8.2.8,The Candidates Test
363,3.8.2.9,Intervals of Concavity
3846,3.8.2.10,Relating Concavity to the Second Derivative
1046,3.8.2.11,Points of Inflection
339,3.8.2.12,The Second Derivative Test
621,3.8.2.13,Approximating Functions Using Local Linearity and Linearization
992,3.8.3.1,Estimating Derivatives Using a Forward Difference Quotient
993,3.8.3.2,Estimating Derivatives Using a Backward Difference Quotient
640,3.8.3.3,Estimating Derivatives Using a Central Difference Quotient
1177,3.8.4.1,Second-Degree Taylor Polynomials
3825,3.8.4.2,Analyzing Second-Degree Taylor Polynomials
1222,3.8.4.3,Third-Degree Taylor Polynomials
3771,3.8.4.4,Higher-Degree Taylor Polynomials
340,3.8.4.5,Maclaurin Series
3826,3.8.4.6,Taylor Series
885,3.8.4.7,Representing Functions as Power Series
884,3.8.4.8,Recognizing Standard Maclaurin Series
477,3.9.1.1,Approximating Areas With the Left Riemann Sum
1281,3.9.1.2,Approximating Areas With the Right Riemann Sum
1042,3.9.1.3,Left and Right Riemann Sums in Sigma Notation
945,3.9.1.4,Approximating Areas With the Trapezoidal Rule
1086,3.9.2.1,Defining Definite Integrals Using Left and Right Riemann Sums
283,3.9.2.2,The Fundamental Theorem of Calculus
3575,3.9.2.3,Applying the Fundamental Theorem of Calculus to Exponential and Trigonometric Functions
1685,3.9.2.4,The Sum and Constant Multiple Rules for Definite Integrals
632,3.9.2.5,Properties of Definite Integrals Involving the Limits of Integration
1040,3.9.3.1,The Area Bounded by a Curve and the X-Axis
1041,3.9.3.2,The Area Bounded by a Curve and the Y-Axis
2975,3.9.3.3,Evaluating Definite Integrals Using Symmetry
1432,3.9.3.4,Finding the Area Between a Curve and the X-Axis When They Intersect
1200,3.9.3.5,Calculating the Definite Integral of a Function Given Its Graph
626,3.9.3.6,Definite Integrals of Piecewise Functions
333,3.9.4.1,The Integral as an Accumulation Function
613,3.9.4.2,The Second Fundamental Theorem of Calculus
1203,3.9.5.1,The Average Value of a Function
395,3.9.5.2,The Area Between Curves Expressed as Functions of X
760,3.9.5.3,The Arc Length of a Planar Curve
334,3.10.1.1,Integrating Algebraic Functions Using Substitution
331,3.10.1.2,Integrating Linear Rational Functions Using Substitution
443,3.10.1.3,Integration Using Substitution
1159,3.10.1.4,Calculating Definite Integrals Using Substitution
316,3.10.1.5,Further Integration of Algebraic Functions Using Substitution
1112,3.10.1.6,Integrating Exponential Functions Using Linear Substitution
3770,3.10.1.7,Integrating Exponential Functions Using Substitution
478,3.10.1.8,Integrating Trigonometric Functions Using Substitution
1161,3.10.1.9,Integrating Logarithmic Functions Using Substitution
315,3.10.1.10,Integration by Substitution With Inverse Trigonometric Functions
282,3.10.2.1,Integration Using Basic Trigonometric Identities
1037,3.10.2.2,Integration Using the Pythagorean Identities
1038,3.10.2.3,Integration Using the Double-Angle Formulas
338,3.10.3.1,Integrating Functions Using Polynomial Division
444,3.10.3.2,Integrating Functions by Completing the Square
317,3.10.4.1,Introduction to Integration by Parts
1140,3.10.4.2,Using Integration by Parts to Calculate Integrals With Logarithms
416,3.10.4.3,Applying the Integration By Parts Twice
424,3.10.4.4,Integration by Parts in Cyclic Cases
1060,3.10.5.1,Expressing Rational Functions as Sums of Partial Fractions
1062,3.10.5.2,Expressing Rational Functions with Repeated Factors as Sums of Partial Fractions
1063,3.10.5.3,Expressing Rational Functions with Irreducible Quadratic Factors as Sums of Partial Fractions
445,3.10.5.4,Integrating Rational Functions Using Partial Fractions
446,3.10.5.5,Integrating Rational Functions with Repeated Factors
447,3.10.5.6,Integrating Rational Functions with Irreducible Quadratic Factors
758,3.10.6.1,Improper Integrals
4004,3.10.6.2,Improper Integrals Involving Exponential Functions
4005,3.10.6.3,Improper Integrals Involving Arctangent
1382,3.10.6.4,Improper Integrals Over the Real Line
759,3.10.6.5,Improper Integrals of the Second Kind
284,3.11.1.1,Calculating Velocity for Straight-Line Motion Using Differentiation
824,3.11.1.2,Calculating Acceleration for Straight-Line Motion Using Differentiation
3581,3.11.1.3,Determining Characteristics of Moving Objects Using Differentiation
762,3.11.1.4,Calculating Velocity Using Integration
3582,3.11.1.5,Determining Characteristics of Moving Objects Using Integration
335,3.11.1.6,Calculating the Position Function of a Particle Using Integration
3576,3.11.1.7,Calculating the Displacement of a Particle Using Integration
2036,3.11.2.1,Velocity and Acceleration for Plane Motion
3767,3.11.2.2,Calculating Displacement for Plane Motion
763,3.11.2.3,Calculating Velocity for Plane Motion Using Differentiation
825,3.11.2.4,Calculating Acceleration for Plane Motion Using Differentiation
826,3.11.2.5,Finding Velocity Vectors in Two Dimensions Using Integration
648,3.11.2.6,Finding Displacement Vectors in Two Dimensions Using Integration
620,3.11.3.1,Rates of Change in Applied Contexts
1044,3.11.3.2,Introduction to Related Rates
4059,3.11.3.3,Related Rates With Implicit Functions
287,3.11.3.4,Calculating Related Rates With Circles and Spheres
345,3.11.3.5,Calculating Related Rates Using the Pythagorean Theorem
1211,3.11.3.6,Solving Optimization Problems Using Derivatives
1216,3.11.3.7,Optimizing Distances
4218,3.11.3.8,Optimizing Distances to Curves
3215,3.12.1.1,Introduction to Differential Equations
1181,3.12.1.2,Verifying Solutions of Differential Equations
1061,3.12.1.3,Solving First-Order ODEs Using Direct Integration
466,3.12.1.4,Solving First-Order ODEs Using Separation of Variables
1179,3.12.1.5,Solving First-Order IVPs Using Separation of Variables
2976,3.12.1.6,Qualitative Analysis of First-Order ODEs
2023,3.12.1.7,Modeling With First-Order ODEs
602,3.12.2.1,Euler's Method: Calculating One Step
3668,3.12.2.2,Euler's Method: Calculating Multiple Steps
1166,3.13.1.1,Three-Dimensional Vectors in Component Form
175,3.13.1.2,Addition and Scalar Multiplication of Cartesian Vectors in 3D
1277,3.13.1.3,Calculating the Magnitude of Cartesian Vectors in 3D
243,3.13.2.1,Calculating the Dot Product Using Angle and Magnitude
177,3.13.2.2,Calculating the Dot Product Using Components
1278,3.13.2.3,The Angle Between Two Vectors
1285,3.13.2.4,Calculating a Scalar Projection
1295,3.13.2.5,Calculating a Vector Projection
246,3.13.3.1,The Cross Product of Two Vectors
4858,3.13.3.2,Properties of the Cross Product
245,3.13.3.3,Calculating the Cross Product Using Determinants
1299,3.13.3.4,Finding Areas Using the Cross Product
1286,3.13.3.5,The Scalar Triple Product
1287,3.13.3.6,Volumes of Parallelepipeds
475,3.13.4.1,Defining Vector-Valued Functions
4139,3.13.4.2,Differentiating Vector-Valued Functions
1085,3.13.4.3,Integrating Vector-Valued Functions
861,3.14.1.1,Introduction to Matrices
1167,3.14.1.2,Index Notation for Matrices
29,3.14.1.3,Adding and Subtracting Matrices
1168,3.14.1.4,Properties of Matrix Addition
146,3.14.1.5,Scalar Multiplication of Matrices
862,3.14.1.6,"Zero, Square, Diagonal and Identity Matrices"
232,3.14.1.7,The Transpose of a Matrix
1195,3.14.2.1,Multiplying a Matrix by a Column Vector
147,3.14.2.2,Multiplying Square Matrices
1198,3.14.2.3,Conformability for Matrix Multiplication
1196,3.14.2.4,Multiplying Matrices
1725,3.14.2.5,Powers of Matrices
1171,3.14.2.6,Multiplying a Matrix by the Identity Matrix
1724,3.14.2.7,Properties of Matrix Multiplication
1729,3.14.2.8,Representing 2x2 Systems of Equations Using a Matrix Product
155,3.14.2.9,Representing 3x3 Systems of Equations Using a Matrix Product
152,3.14.3.1,The Determinant of a 2x2 Matrix
1169,3.14.3.2,The Geometric Interpretation of the 2x2 Determinant
233,3.14.3.3,The Minors of a 3x3 Matrix
153,3.14.3.4,The Determinant of a 3x3 Matrix
863,3.14.4.1,Introduction to the Inverse of a Matrix
864,3.14.4.2,Inverses of 2x2 Matrices
154,3.14.4.3,Calculating the Inverse of a 3x3 Matrix Using the Cofactor Method
934,3.14.4.4,Solving 2x2 Systems of Equations Using Inverse Matrices
1023,3.14.4.5,Solving Systems of Equations Using Inverse Matrices
865,3.14.5.1,Introduction to Linear Transformations
1959,3.14.5.2,The Standard Matrix of a Linear Transformation
2706,3.14.5.3,Linear Transformations of Points and Lines in the Plane
866,3.14.5.4,Linear Transformations of Objects in the Plane
867,3.14.5.5,Dilations and Reflections as Linear Transformations
1358,3.14.5.6,Shear and Stretch as Linear Transformations
931,3.14.5.7,Right-Angle Rotations as Linear Transformations
932,3.14.5.8,Rotations as Linear Transformations
933,3.14.5.9,Combining Linear Transformations Using 2x2 Matrices
988,3.14.5.10,Inverting Linear Transformations
989,3.14.5.11,Area Scale Factors of Linear Transformations
1351,3.14.5.12,Singular Linear Transformations in the Plane
324,3.15.1.1,Conditional Probabilities From Venn Diagrams
715,3.15.1.2,The Multiplication Law for Conditional Probability
773,3.15.1.3,The Law of Total Probability
183,3.15.1.4,Independent Events
740,3.15.1.5,The Addition Law of Probability
4315,3.15.1.6,Applying the Addition Law With Event Complements
1154,3.15.1.7,Mutually Exclusive Events
1290,3.15.2.1,Probability Mass Functions of Discrete Random Variables
2024,3.15.2.2,Cumulative Distribution Functions for Discrete Random Variables
730,3.15.2.3,Expected Values of Discrete Random Variables
3281,3.15.2.4,The Binomial Distribution
1395,3.15.2.5,Modeling With the Binomial Distribution
3284,3.15.2.6,The Geometric Distribution
2839,3.15.2.7,Modeling With the Geometric Distribution
265,3.15.3.1,The Standard Normal Distribution
4420,3.15.3.2,Symmetry Properties of the Standard Normal Distribution
1843,3.15.3.3,The Normal Distribution
1470,3.15.3.4,Mean and Variance of the Normal Distribution
3214,3.15.3.5,Percentage Points of the Standard Normal Distribution
788,3.15.3.6,Modeling With the Normal Distribution
